COMMUNITY,WALL,OWN ACTION
,,
Defect,,Defect
,Defect,Defect
,Defect,Defect
Defect,,Defect
,Cooperate,Cooperate
Defect,,Defect
,Cooperate,Cooperate
,Defect,Defect
,Cooperate,Cooperate
,Defect,Defect
,Defect,Defect
,Defect,Defect
,Defect,Defect
Defect,,Defect
,Defect,Defect
Defect,,Defect
,Cooperate,Cooperate
Cooperate,,Cooperate
Cooperate,,Cooperate
,Defect,Defect
,Defect,Defect
Defect,,Defect
Defect,,Defect
Defect,,Defect
Defect,,Defect
Defect,,Defect
,Cooperate,Cooperate
Cooperate,,Cooperate
,Defect,Defect
Defect,,Defect
Defect,,Defect
,Defect,Defect
Defect,,Defect
,Defect,Defect
,Cooperate,Cooperate
,Defect,Defect
,Defect,Defect
Cooperate,,Cooperate
,Defect,Defect
,Defect,Defect
Defect,,Defect
,Cooperate,Cooperate
,Defect,Defect
Defect,,Defect
,Cooperate,Cooperate
,Cooperate,Cooperate
Defect,,Defect
,Cooperate,Cooperate
,Defect,Defect
,Cooperate,Cooperate
Defect,,Defect
,Defect,Defect
,Cooperate,Cooperate
,Defect,Defect
,Defect,Defect
Cooperate,,Cooperate
Cooperate,,Cooperate
,Defect,Defect
,Defect,Defect
,Cooperate,Cooperate
,Defect,Defect
Defect,,Defect
Cooperate,,Cooperate
Defect,,Defect
Defect,,Defect
,Defect,Defect
,Cooperate,Cooperate
Cooperate,,Cooperate
Defect,,Defect
Cooperate,,Cooperate
,Defect,Defect
,Cooperate,Cooperate
,Defect,Defect
,Defect,Defect
Defect,,Defect
Defect,,Defect
,Defect,Defect
,Defect,
Defect,,
Cooperate,,
,Defect,
,Defect,
Defect,,
Cooperate,,
Defect,,
Cooperate,,
,Cooperate,
